full_text,sentiment,clean_text
@tetawanann semangat sidang nyaaa kakak dey ,netral,semangat sidang nyaaa dey
@telkomsel ini udah mau seminggu belum dibales loh,negatif,seminggu dibales loh
@purpleyou_875 @purpleyou_875 hai kak. maaf kak mengenai pulsa terpotong karena layanan vas tunggu konfirmasi berikutnya via dm ya :) -frey,negatif,pulsa terpotong layanan va tunggu konfirmasi
۫ ꣑ৎ wts want to sell jual paket data kuota paketan internet data tsel telkomsel flash full mini malam masa aktif kartu murce harian mingguan bulanan bisa langsung proses habis tf #zonauang https://t.co/loq9doabgv,netral,ৎ wts want to sell jual paket data kuota paketan internet data tsel flash full mini malam aktif kartu murce harian mingguan bulanan langsung prose habis tf
@shintyatan waduh... tenang kak. feri bantu kendala sinyalnya ya. yuk cek dm dari feri,negatif,tenang feri kendala sinyalnya feri
ada siapa nih? siapa yang udah langganan?!! mindira sih udahizin spill salah satu kontennya yaa min @telkomsel @sp_indirajkt48 https://t.co/7b9xopjr7q,netral,langganan mindira udahizin spill salah kontennya yaa
@musicaddictto @musicaddictto hai kak. ada kendala dengan jaringan telkomselnya kah? maaf ya biar bisa dibantu pengecekan lebih lanjut boleh share nomor telkomselnya ke dm yuk. infoin juga waktu kejadian lokasi lengkap dan nomor telkomsel lain yang berkendala sama jika ada ya -rai,negatif,kendala jaringan telkomselnya kah pengecekan share telkomselnya kejadian lokasi lengkap
@kakucchow kaga yes.. ada paket atas nama gua. terus mama gua bilang lagi lagi skynani ,netral,kaga yes paket nama gua mama gua bilang skynani
cah apk telkomsel mu bisa dibuka nggak? punyaku kok nggak bisa ya mental terus,negatif,cah apk mu dibuka nggak punyaku nggak mental
telkomsel lagi gangguan apa gimana dah @telkomsel,negatif,gangguan dah
@yrachmania @yrachmania maaf kak yasmine kalo yang dimaksud ga dapat sms link akses youtube premium dm in nomor hp sama tgl aktivasi. makasih :) -rasya,negatif,yasmine sm link akses youtube premium in tgl aktivasi
@rfqsyw kak @rfqsyw maafin ya kalau ada kendala akses mytelkomsel. silakan coba clear cache kemudian uninstal dulu dan download lagi versi terbaru nya. kalau masih gak bisa silakan infokan nomor hp type hp versi os dan capture kendala nya ke dm biar dicek dulu -aci,negatif,kendala akses mytelkomsel clear cache uninstal download terbaru infokan type o capture kendala dicek
@qwcecan @qwcecan baik kak cecan. kuuuy kirimin nomor hp nomor lain yang alami kendala sama jika ada tanggal waktu kejadian dan detail lokasinya ke dm agar bisa dibantu cek serta dilakukan penanganan ya. makasih. -beeru,negatif,cecan kuuuy kirimin alami kendala tanggal kejadian detail lokasinya penanganan
@tanyakanrl jir telkomsel malah murah https://t.co/sgkzjqjthh,positif,jir murah
@telkomsel permisi admin saya rifqi dari depok mau tanya ini saya mau buka apps mytelkomsel dari kemarin ndak bisa-bisa ada apa ya? mau isi paket dari apps jadi ndak bisa nih. mohon bantuannya. terima kasih,netral,permisi rifqi depok buka apps mytelkomsel kemarin ndak isi paket apps ndak bantuannya
@telkomsel terimakasih mimin ,netral,terimakasih mimin
@rankohara @rankohara siaap kak ranran dm-nya akan direspon sesuai antrean berkenan menunggu dan cek dm secara berkala makasih. -nabil,positif,siaap ranran direspon sesuai antrean berkenan menunggu berkala
@telkomsel baik min,positif,
@nlfikaa @nlfikaa semoga apa yang kak fika harapkan bisa terealisasi ya -beeru,netral,semoga fika harapkan terealisasi
@nlfikaa @nlfikaa wihhh oshinya gendis nih kak fika? -zyad,netral,wihhh oshinya gendis fika
@telkomsel al dah punya pasangan gpt,netral,al dah pasangan gpt
@telkomsel dah bisa kak. tapi capek aja harus selalu reinstall tiap kalo begini since sering bgt ngebug belakangan ini. delete cache doang sering tetep gabisa. kalo gini bisa laporan ga?,negatif,dah capek reinstall since ngebug delete cache doang tetep gabisa gini laporan
nggak nyangka ternyata ai udah jadi bestie kita dari lama! dari maps yang nggak nyasar sampe filter medsos yang bikin kece. menurut kamu ai mana yang paling ngebantu? coba reply di bawah dan jangan lupa rt tweet biar faedahnya banyak ya! #telkomselprabayar https://t.co/it66eo7pxh,positif,nggak nyangka ai bestie map nggak nyasar sampe filter medsos bikin kece ai ngebantu reply lupa rt tweet faedahnya
@telkomsel ditunggu versi photocard nya &amp; bisa pilih member min,netral,photocard amp pilih member
@telkomsel waaaa dekkk gendisss,netral,waaaa dekkk gendisss
@mndadaklupa @telkomsel makanya sholat,netral,sholat
@irmaekapuri @irmaekapuri telkomsel sangat menjaga komitmen terkait keamanan dan kerahasiaan data pelanggan ya kak irma biar bisa dibantu lebih lanjut silakan kirim nomor hp-nya ke dm ya. makasih. -beeru,positif,menjaga komitmen terkait keamanan kerahasiaan data pelanggan irma kirim
@leewooziwife coba di explore dulu kak aplikasi mytelkomsel nya siapa tau ada penawaran menarik yang cocok buat kakak -feri,positif,explore aplikasi mytelkomsel penawaran menarik cocok
@ionzhl makasih ya kak udah tetep setia pake telkomsel. btw telkomsel nya aman kan kak? -feri,positif,tetep setia btw aman
@katsuplosion @katsuplosion kak. mohon maaf ya. apabila sudah melakukan clear cache dan sudah instal ulang aplikasinya namun masih berkendala yuk infoin nomor telkomsel dan type device nya melalui dm. karena neira cek belum ada pelaporan dari kakak. ditunggu yaa. makasih -neira,negatif,clear cache instal ulang aplikasinya type device neira pelaporan yaa
@telkomsel yang lulu sudah adakah? dan untuk digital kontennya dapet berapa?,netral,lulu adakah digital kontennya dapet
@nayilatte duh... dari kapan kak kendala jaringannya? sini kita bantu -feri,negatif,duh kendala jaringannya
mentang2 dimiripin polar bear sama pacarnya ,netral,mentang dimiripin polar bear pacarnya
@telkomsel sudah diblocked tapi selalu mencoba menghubuhgi orang baru. jadi @telkomsel juga menjaga maling?,netral,diblocked mencoba menghubuhgi orang menjaga maling
@frailbone waduh... dari kapan kak stacy kendalanya? coba sini kita bantu -feri,negatif,stacy kendalanya
@sunghooniewifey ganjar satoru ,netral,ganjar satoru
@mndadaklupa @mndadaklupa maaf kak dian udah buat ga nyaman karena wetv-nya kendala biar bisa dibantu lebih lanjut silakan kirim nomor hp-nya ke dm ya. thx. -beeru,negatif,dian nyaman wetv kendala kirim
@irmaekapuri @irmaekapuri helo kak irma. untuk upaya penipuan via aplikasi whatsapp nabil sarankan blokir manual di settingan aplikasinya ya kak. telkomsel selalu menjaga kerahasiaan data pelanggannya kak -nabil,netral,helo irma upaya penipuan aplikasi whatsapp nabil sarankan blokir manual settingan aplikasinya menjaga kerahasiaan data pelanggannya
@memuavt @memuavt wah boleh juga nih makasih ya kak ata udah setia pakai telkomsel. jangan sungkan hubungi kami ya kalau butuh bantuan lainnya. sehat selalu -zyad,positif,ata setia pakai sungkan hubungi butuh sehat
@denisaurus23 @denisaurus23 penanganan kendalanya lanjut di dm ya kak deni -beeru,negatif,penanganan kendalanya deni
@firzadwp coba cek pilihan spesial untuk kamu di aplikasi mytelkomsel kak banyak penawaran paket lainya yang menarik dan murah padahal loh-amo,positif,pilihan spesial aplikasi mytelkomsel penawaran paket lainya menarik murah loh
@aan8an @aan8an kak aan. mohon maaf ya. neira cek sudah ada interaksi di dm berkenan menunggu konfirmasi selanjutnya. terima kasih :) -neira,negatif,aan neira interaksi berkenan menunggu konfirmasi
telkomsel sekarang sering lelet banget kenapa dah,negatif,lelet dah
gemecc ini yang beruang yang mana yaaa,netral,gemecc beruang yaaa
cape banget ngestan skynani ,netral,cape ngestan skynani
@sztrlght ada banyak pilihan paket yang menarik ko kak coba lirik pilihan paket spesial untuk kamu deh diaplikasi mytelkomsel pasti ada paket murah dan promo lainya bisa aktifin paketnya sesuai kebutuhan yah -amo,positif,pilihan paket menarik ko lirik pilihan paket spesial diaplikasi mytelkomsel paket murah promo lainya aktifin paketnya sesuai kebutuhan
menunggu nani komen ,netral,menunggu nani komen
@skywongraveee narakkkk jang,netral,narakkkk jang
@skywongraveee lucu foto bareng kembaran,netral,lucu foto bareng kembaran
@xolunane maafin ya kak nane atas ketidaknyamanan yang dialami. mengenai kendala aktivasi paket nonton berhasil namun gak bisa akses prime video kakak udah coba aktivasi melalui link yang diterima dari 97080 belum? kalau belum coba infoin dulu yuk nomor hp sama capture keterangan,negatif,nane ketidaknyamanan dialami kendala aktivasi paket nonton berhasil akses prime video aktivasi link diterima capture keterangan
@z_maruu @z_maruu siap kak maruu dm-nya akan direspon sesuai antrean berkenan menunggu dan cek dm secara berkala makasih. -nabil,positif,maruu direspon sesuai antrean berkenan menunggu berkala
plis ni tsel kenapaa vip wetv gua gabisa dipake yaa? @telkomsel plis min udah dua bulan kena scam,negatif,plis ni tsel kenapaa vip wetv gua gabisa dipake yaa plis kena scam
@bbillkinq include listrik tapi kamar mandi luar,netral,include listrik kamar mandi
@telkomsel hadeh perlu begitu lagi. masa harus hampir tiap error harus begitu sih ,negatif,hadeh error
@telkomsel langsung kerjain aja dman udah sering.,netral,langsung kerjain dman
@yabukansiapa2 @yabukansiapa2 kak yaya penawaran paket internet yang diterima setiap nomor berbeda-beda ya kak meskipun berada di lokasi yang sama. hal tersebut disesuaikan dengan skema tarif umur kartu rata-rata penggunaan promo yang berlangsung atau kondisi khusus lainnya. -nabil,positif,yaya penawaran paket internet diterima berbeda lokasi disesuaikan skema tarif umur kartu penggunaan promo kondisi khusus
ada yang tau vc ini? pengen banget tapi bukan pengguna telkomsel #zonauang #zonajajan #zonabu #jobreceh #zonareceh https://t.co/orcrf4wrtw,positif,vc pengen pengguna
@telkomsel ini serius gw jd rebutan admin telkomsel? jadiin ak ba dong min ,netral,serius gw jd rebutan jadiin ak ba
kumatlg telkomsel,netral,kumatlg
@telkomsel sdah penanganan nyatanya tetap tdk bisa... kalau bisa cs pasti bisa bantu aktifasi bkn ditawari paket lain sudah di telpon 188 suruh refrest hp turunkan ke jaringan 2g tetap tdk bisa,positif,sdah penanganan tdk aktifasi bkn ditawari paket telpon suruh refrest turunkan jaringan g tdk
@promokidzania_ @wefaors @_mfahman24 kalau 5 org aja bs jadi 50rb ga kak ,positif,org b rb
@fachrimoch22148 @fachrimoch22148 siaaap kak fachri. tungguin balesan dari kita di dm ya kak. makasih :) -neira,netral,siaaap fachri tungguin balesan
dear @telkomsel apakah bisa report nomor? karena nomor ini sudah beberapa kali ber pura-pura jadi saya dan suami saya? coba nipu tim untuk minta ditransfer uang. dan ada yang kena tipu. tolong dibantu ya. https://t.co/njn2lhalcz,negatif,report kali ber pura suami nipu tim ditransfer uang kena tipu
@msxmarmo @icemintyyz @msxmarmo kak maaf ya jadi kurang nyaman. coba infoin nomor hp tanggal kejadian lokasi (kelurahan kecamatan kota) dan nomor telkomsel lain berkendala sama lewat dm. nanti dibantu cek -darlan,negatif,nyaman tanggal kejadian lokasi kelurahan kecamatan kota
@gwsukaseblak orang kaya makan duit,netral,orang kaya makan duit
@digadg yah main game nya jadi terganggu kak @digadg maafin ya. aci bantu biar akses internet nya jadi sat set lagi yuk. silakan infokan nomor hp tanggal dan waktu kejadian lokasi detail (minimal kelurahan) ke dm agar data terjaga. tks -aci,negatif,main game terganggu akses internet sat set infokan tanggal kejadian lokasi detail kelurahan data terjaga tks
@telkomsel baca dm,netral,baca
gw... ngapainsih......,netral,gw ngapainsih
@precioushdry @precioushdry maafkan kak dipa. kami terus berupaya maksimal agar bisa memuaskan seluruh pengguna telkomsel. semoga harapannya bisa terealisasi untuk kedepannya ya kak -darlan,netral,maafkan dipa berupaya maksimal memuaskan pengguna semoga harapannya terealisasi kedepannya
ayo kuota tsel telkomsel murah proses fajssst #zonauang,positif,ayo kuota tsel murah prose fajssst
jaringan lu jelek banget sumpah @telkomsel,negatif,jaringan lu jelek sumpah
udahlah gua aja yg jadi admin gmm,netral,udahlah gua gmm
@telkomsel kalau jam segini sinyal parah banget. mau mode pesawat atau on off hp tetap aja bengong. parah nie opsel plat merah. apa harus diganti dgn opsel swasta ya? plat merah jagonya korupsi. kalau soal pelayanan malah kosong.,negatif,jam segini sinyal parah mode pesawat on off bengong parah nie opsel plat merah diganti opsel swasta plat merah jagonya korupsi pelayanan kosong
gmm gajelas,netral,gmm gajelas
@williamjakpus definisi orang udh kering mereka baru nyebur,netral,definisi orang udh kering nyebur
@bbystarc @telkomsel @bbystarc maafin kak bby mengenai jaringan internet akan frey bantu via dm ya :) -frey,negatif,bby jaringan internet frey
@nerdygemm gw suka energi bekasi,positif,gw suka energi bekasi
@telkomsel @katsuplosion okeee ditunggu ya udh dari kemarin gaada balesan,negatif,okeee udh kemarin gaada balesan
@telkomsel udah min baru dicoba mungkin kedepannya kalo ada uprage aplikasi diberitahukan terlebih dahulu min soalnya repot bgt tadi butuh kuota tapi pas buka aplikasi malah gabisa akhirnya nyari paket internet di toko oren malah ga sesuai sm yang biasa dibeli,positif,dicoba kedepannya uprage aplikasi diberitahukan repot butuh kuota pa buka aplikasi gabisa nyari paket internet toko oren sesuai sm dibeli
@irlanadhika @irlanadhika selamat beristirahat ya kak ️ -zidane,positif,selamat beristirahat
open tukar pulsa ke saldo uang rate cv convert indosat tri 3 isat xl : 0 85 - 0 86 tsel telkomsel : 0 80 - 0 82 chat kesidni @dheandelion testi udah 10000+ #zonauang️,netral,open tukar pulsa saldo uang rate cv convert isat xl tsel chat kesidni testi
@telkomsel belum nih https://t.co/fgsccfojen,negatif,
@minjiskena @minjiskena maaf ya kak gayut:( perihal kendala sinyal gak stabil coba infoin juga yuk nomor hp lokasi (kec kel kab/kota) dan nomor telkomsel lain berkendala sama jika ada melalui dm. biar dibantu cek serta privasi data terjaga. makasih :) -zyad,negatif,gayut perihal kendala sinyal stabil lokasi kec kel kabkota privasi data terjaga
@attvre wkwkwk masa aku dijitak. aku jakarta ,netral,wkwkwk dijitak jakarta
@telkomsel udah di dm min,netral,
@kyeomipijja30 murah ini ih coba aja telkomsel 21gb harganya 70k,positif,murah ih harganya
@sevadila35615 @sevadila35615 ada dongggsss ️ ️ ️ -zidane,netral,dongggsss
@telkomsel @vidio tetapi saya tidak bisa menonton serie a gimana dong ?,negatif,menonton serie a
@telkomsel adaa gendis‍‍‍,netral,adaa
@alpacapicaca @alpacapicaca mohon maaf kak alpaca mengenai menerima sms spam coba infoin nomor hp dan capture smsnya ke dm yuk untuk pengecekan lebih lanjut :) -frey,negatif,alpaca menerima sm spam capture smsnya pengecekan
@phuaacoty rill. enak banget. mana disini hampir sepanjang jalan ada roti maryam,netral,rill enak jalan roti maryam
@megaverxxe @megaverxxe maaf ya buat kendalanya kak nino. kalo udah coba restart hp clear cache aplikasi reinstal aplikasi mytelkomsel nya masih ga bisa dm in nomor hp sama type hp biar dibantu penanganan lebih lanjut. sehat selalu :) -rasya,negatif,kendalanya nino restart clear cache aplikasi reinstal aplikasi mytelkomsel in type penanganan sehat
@buttmann_ @buttmann_ syaap kak keto. neira cek dm-nya sudah masuk. mohon berkenan menunggu interaksi selanjutnya via dm yaa. makasih :) -neira,netral,syaap keto neira masuk berkenan menunggu interaksi yaa
sumpahhh yaaa @telkomsel ni nmr hp ku diapainnnn smpe di spam mulu sama pinjollllll!!!!! dan ini udah terjadi bbrp bulan kebelakang woi ga pernah w pinjol sgl mcm tp di spam trs kayak orang kaga bayar utangggg https://t.co/rfwixbbrmt,negatif,sumpahhh yaaa ni nmr ku diapainnnn smpe spam mulu pinjollllll bbrp kebelakang woi w pinjol sgl mcm tp spam trs kayak orang kaga bayar utangggg
@attvre belum.. bisa rikues rendang ga ya,netral,rikues rendang
@kimciez @katsuplosion @kimciez maafin ya kak angel. saat ini dibantu colek dulu rekan zyadnya di dm ditunggu balesan selanjutnya. makasih :) -zyad,negatif,angel colek rekan zyadnya balesan
@irlanadhika sudah aman ya kak @irlanadhika sekarang sinyal nya? aci ikut seneng kalau gitu. next time kalau ada kendala jangan sungkan colek kita aja ya. sehat terus kak -aci,netral,aman sinyal seneng next time kendala sungkan colek sehat
@roniwija @roniwija kak roni. mohon maaf ya. sini infoin nomor telkomsel dan capture pembeliannya melalui dm. neira akan bantu pengecekannya -neira,negatif,roni capture pembeliannya neira pengecekannya
@telkomsel buset min gabut banget luhk,netral,buset gabut luhk
@s4wadikrap makasih ya kak udah rekomendasiin telkomsel -feri,positif,rekomendasiin
@telkomsel dari kemaren habis hujan badai,netral,kemaren habis hujan badai
@bubleteacup kalau sekarang udah normal lagi belum nih kak? -feri,negatif,normal
@ppwonlylv jemput aku jugak,netral,jemput jugak
@telkomsel gendisss keren!!,netral,gendisss keren
@telkomsel @sbyfess bismilah dikirimin paket data wkwkwk,netral,bismilah dikirimin paket data wkwkwk
@dombakambing12 @sbyfess @dombakambing12 terbaik kak sky -frey,positif,terbaik sky
@triindonesia 2025 paket tri mahal ya sekarang....masak lbh murah telkomsel wkwkwkwk...,negatif,paket mahal sekarangmasak lbh murah wkwkwkwk
@blueberixxx @blueberixxx gapapa kak moren. senang mendengar kabar baiknya. selamat menikmati kembali layanan telkomselnya. apabila ada kendala atau pertanyaan langsung dm neira yaa. pasti neira bantuin. makasih ️ -neira,netral,gapapa moren senang mendengar kabar baiknya selamat menikmati layanan telkomselnya kendala langsung neira yaa neira bantuin
@dorotheavra cs telkomsel ya?,netral,
@digebuki dyem tau begeng darimana jah,netral,dyem begeng darimana jah
@pangtilu @pangtilu siap kak fauzaan. tungguin di dm yaa. makasih :) -zidane,netral,fauzaan tungguin yaa
@cursedkidd coba km tanya,netral,km
ini aplikasi my telkomsel gabisa dibuka kah?,negatif,aplikasi my gabisa dibuka kah
@_saputrobayu @_saputrobayu kalo masih belum bisa kak bay infoin nomor hp ke dm yuk untuk pengecekan lebih lanjut :) -frey,negatif,bay pengecekan
@andronesian @andronesian siap kak sipul rekan kami akan respon dm sesuai antrean tunggin disana ya makasih. -nabil,positif,sipul rekan respon sesuai antrean tunggin disana
@aan8an @aan8an maaf banget kak aan. sambung di-dm ya interaksinya agar dibantu penanganan lebih lanjut -darlan,negatif,aan sambung interaksinya penanganan
apasih gajelas bget app my telkomsel tbtb gabisa kebuka,negatif,apasih gajelas bget app my tbtb gabisa kebuka
@sbyfess klo yg bagus dan sinyal ok sih @telkomsel nder,positif,klo bagus sinyal ok nder
@guetuh_imut @guetuh_imut sama-sama kak. selamat beraktivitas kembali :) -zidane,positif,selamat beraktivitas
@telkomsel sdah dicoba tak bisa juga..hub cs telkonsel juga nyatanya tdk bisa malah ditawarin paket yg lain,netral,sdah dicoba jugahub telkonsel tdk ditawarin paket
@sluuurrpsoju @sluuurrpsoju maafin kak. mengenai sinyal gak stabilnya boleh dm nomor telkomsel yg digunakan tanggal dan waktu kejadian lokasi detail (kelurahan kecamatan kota ) serta nomor telkomsel lain yang berkendala sama ya. makasih -frey,negatif,sinyal stabilnya tanggal kejadian lokasi detail kelurahan kecamatan kota
blum turu samsek.... ada 3 deadline.... besok masuk jam 8 pagi ada acara... tbak besok ak pingsan ato mati,netral,blum turu samsek deadline besok masuk jam pagi acara tbak besok ak pingsan ato mati
@pangtilu @pangtilu kak fauzaan maaf ya. untuk kendala pembelian paket yuk infokan nomor hp-nya ke dm -darlan,negatif,fauzaan kendala pembelian paket infokan
@cloudyinmysky nani melet sky pun kepelet,netral,nani melet sky kepelet
ih @ / hirunkit_ aku gbisa diginiin pls hamsnjshe grr,netral,ih hirunkit gbisa diginiin hamsnjshe grr
@vansuk_ @telkomsel pake tri dong wkwkwkwkw,netral,wkwkwkwkw
@telkomsel sudah dong masa iya tiap mau buka aplikasinya harus reinstall clear cache restart hp. itu aplikasi provider sebelah cuma makan storage gak sampe 50mb ini my telkomsel sampe 120 mb kek useless banget,negatif,iya buka aplikasinya reinstall clear cache restart aplikasi provider sebelah makan storage sampe mb my sampe mb kek useless
@acabss_ @acabss_ wookey kak canie. senang mendengar kabar baiknya. apabila ada yang ingin ditanyakan kembali jangan sungkan dm neira yaa. terima kasih -neira,positif,wookey canie senang mendengar kabar baiknya sungkan neira yaa
@telkomsel ohh gitu ya hehe terimakasih ya kk admin,netral,ohh hehe terimakasih kk
udah nan gini aja lu minta tanah berapa hektar nan,netral,nan gini lu tanah hektar nan
@guetuh_imut @guetuh_imut paket tersebut dapat melakukan tethering ke perangkat lain ya jadi kuotanya nanti bisa kakak hotspot ke perangkat lain :) -frey,netral,paket tethering perangkat kuotanya hotspot perangkat
nani https://t.co/dudeuamybv,netral,nani
@telkomsel udah bisa kak sekarang,positif,
ibu peri nani,netral,peri nani
@irfann21_ @irfann21_ rasya akan segera bantu cari solusi biar ada sinyal lagi kak irfan. maaf yah boleh dm in juga nomor hp nomor lain berkendala sama kalo ada sama lokasi (kelurahan kecamatan dan kota) yuk. sehat selalu :) -rasya,negatif,rasya cari solusi sinyal irfan in lokasi kelurahan kecamatan kota sehat
@telkomsel baik kak sekalian mau tanya. maksudnya paket berlaku untuk tethering tuh bs dipake untuk hp yg ada nmr telkomselnya jg kan ya kak? atau internetnya bs dipake kalo hasil tethering aja? https://t.co/b5ehxq5cqx,positif,maksudnya paket berlaku tethering b dipake nmr telkomselnya jg internetnya b dipake hasil tethering
@blckrd25 oke kak @blckrd25 dm-nya akan direspon sesuai antrean berkenan menunggu dan cek dm secara berkala makasih. -nabil,positif,oke direspon sesuai antrean berkenan menunggu berkala
@feiisnigripes dari kapan kak kendala sinyalnya? sini kita bantu -feri,negatif,kendala sinyalnya
@telkomsel dari semenjak ujan tadi ga masuk masuk sinyal :) mahal doang kalian babi,negatif,semenjak ujan masuk masuk sinyal mahal doang babi
@blueberixxx kakak udah coba re-instal aplikasi mytelkomsel nya belum kak? -feri,negatif,re aplikasi mytelkomsel
hong kabarin aja kl mau otw rumah nani,netral,hong kabarin kl otw rumah nani
hong gimana kabar lu hong,netral,hong kabar lu hong
@nohyuckaddict coba instal ulang dulu kak aplikasi mytelkomsel nya -feri,netral,instal ulang aplikasi mytelkomsel
yuk yang lagi butuh kuota telkomsel murah 17gb start from 45k aja (open resseler juga yaa) #zonauang #wtb #zonajajan #zonabu #zonaba #freelance #reseller,positif,butuh kuota murah start from open resseler yaa
tewas dulu gusy abis di hajar nani centil,netral,tewas gusy abis hajar nani centil
pemenang award cowo centil : nani,netral,pemenang award cowo centil nani
nani gue gatau harus gimana lagi,netral,nani gue gatau
naniiii ,netral,naniiii
@onleedk hi kak kalau nextnya butuh kuota telkomsel all internet yang sebulan aku ada 17gb start 45k ajaa kalau minat dm yaa,netral,hi nextnya butuh kuota all internet sebulan start ajaa minat yaa
@chittasauce followed! egk ap ap telkomsel kan tetangganya indosat ia ,netral,followed egk ap ap tetangganya
@irfann21_ duh... dari kapan nih kak kendala sinyalnya? sini kita bantu -feri,negatif,duh kendala sinyalnya
ini ga mungkin khun sekay ga naksir ni gue aja naksir https://t.co/hdm0slfe6j,netral,khun sekay naksir ni gue naksir
@telkomsel udah min. cek dm ya ,netral,
dear @telkomsel bisa dm saya terkait kendala jaringan di daerah saya? tidak ada layanan statusnya,negatif,terkait kendala jaringan daerah layanan statusnya
@telkomsel oke min udah aku dm yaw,netral,oke yaw
@clovewithoutc @clovewithoutc sippp. sambung di-dm ya interaksinya kak tks -darlan,netral,sippp sambung interaksinya tks
@girlsloveprimii nasi padangg,netral,nasi padangg
@telkomsel baik kak saya tunggu,positif,tunggu
@telkomsel aplikasi buat cek pulsa ama beli kuota aja besarnya lebih gede dari aplikasi microsoft office 365 :) https://t.co/peahvo55zg,netral,aplikasi pulsa ama beli kuota besarnya gede aplikasi microsoft office
@tessh0w kok bisa ngetweet,netral,ngetweet
@clovewithoutc @clovewithoutc coba kakak infoin nomor hpnya ke dm ya biar kita bantuin cek :) -zidane,netral,hpnya bantuin
@urfavokatie mantap... makasih ya kak udah pake produk telkomsel -feri,positif,mantap produk
my #telkomsel nge bug mohon di bantu,negatif,my nge bug
@n45rulll emang telkomsel nya kenapa kak audrey? -feri,negatif,emang audrey
@yizhuoninj woah kakak udah pakai nomor telkomsel-nya dari kapan niiii? -tammy,positif,woah pakai niiii
@punyafalah17 pake telkomsel aja yuk kak -feri,positif,
@telkomsel udh di lakukan di gerai xl tadi udh dihapus tapi msh blm bs registrasi kartu yang telkomsel,netral,udh lakukan gerai xl udh dihapus msh blm b registrasi kartu
@skyarchen_ berapa kamu mau co deket deket ini kah?,netral,co deket deket kah
@untitledix4 konten tiktok gitu collab sama orang,netral,konten tiktok collab orang
@lannysputrii weheiiii mantap kali udah menggunakan telkomsel dari kapan nih kak cilan? -tammy,positif,weheiiii mantap kali cilan
@clovewithoutc jika nik kakak sudah digunakan untuk registrasi di 3 nomor kakak bisa kunjungi grapari untuk dibantu proses un-registrasi nya ya kak -feri,netral,nik registrasi kunjungi grapari prose un
bangga sama seller layout,netral,bangga seller layout
layout chibi lucu banget ya.. cocok buat hong.. tapi harga nya juga hebat,netral,layout chibi lucu cocok hong harga hebat
@skynaniy ak gabisa dm kamuu,negatif,ak gabisa kamuu
@renyatksh udah coba clear cache atau clear data aplikasi mytelkomsel nya belum kak? -feri,negatif,clear cache clear data aplikasi mytelkomsel
ayah telkomsel https://t.co/6hxap6ebmm,netral,ayah
@thisvasya wah... mantap. makasih ya kak udah rekomendasiin dan setia paket produk telkomsel -feri,positif,mantap rekomendasiin setia paket produk
@heru2605 @iboxindonesia @telkomselhalo @heru2605 halo kak heru. mohon maaf untuk tagihan telkomsel halo coba infoin nomor hp nama lengkap dan tempat tanggal lahir ke dm biar dibantuin cek :) -zidane,negatif,telkomselhalo heru tagihan nama lengkap tanggal lahir dibantuin
@mrchlina hai kak. mohon maaf atas ketidaknyamanannya. apakah ada pesan erornya? ini sedang mengakses dan mengajukan apa? pastikan tersedia pulsa minimal rp500 &amp; nomor belum pernah digunakan pada akun lainnya. disarankan menggunakan operator telkomsel xl atau indosat. tks*rama,negatif,ketidaknyamanannya pesan erornya mengakses mengajukan pastikan tersedia pulsa amp akun disarankan operator xl tksrama
@pocerri apa ya kaya nama kantor telkomsel tuh grapari. khusus untuk kartu dan wifi gitu dah,netral,kaya nama kantor grapari khusus kartu wifi dah
@peachyoon__ ngebug gimana nih kak? -feri,netral,ngebug
@iboxindonesia min kmrn bundling sm kartu @telkomselhalo selama 2 tahun sdh di bayar kok tertagih lagi ya di app @telkomselhalo cc @telkomsel,netral,kmrn bundling sm kartu telkomselhalo sdh bayar tertagih app telkomselhalo cc
@ifeel_better @ifeel_better mohon maaf ya kak atas ketidaknyamanan yang dialami:( saat ini dm kakak udah masuk antrian ya dibantu colek dulu rekan zyadnya di dm ya. ditunggu balesan rekan zyad selanjutnya ya. makasih :) -zyad,netral,ketidaknyamanan dialami masuk antrian colek rekan zyadnya balesan rekan zyad
@verrnnon_ wah... makasih loh udah rekomendasiin paket telkomsel ️-feri,positif,loh rekomendasiin paket
@z_maruu @z_maruu ok kak. rekan kami akan segera respon lagi dm nya yah. sehat selalu :) -rasya,netral,ok rekan respon sehat
@renjungantengbg @renjungantengbg kak nayla. maafin ya :( boleh infoin juga nomor telkomsel tanggal kejadian dan nomor lain yang berkendala sama ke dm. neira akan bantu perbaiki jaringannya agar nyaman digunakan :) -neira,negatif,nayla tanggal kejadian neira perbaiki jaringannya nyaman
@inikamuuu hai kak. mohon maaf atas ketidaknyamanannya. pastikan tersedia pulsa minimal rp500 &amp; nomor belum pernah digunakan pada akun lainnya. untuk memperlancar. disarankan menggunakan operator telkomsel xl &amp; indosat. tks*rama,netral,ketidaknyamanannya pastikan tersedia pulsa amp akun memperlancar disarankan operator xl amp tksrama
@telkomsel aplikasi yg mana ?,netral,aplikasi
#yinwar drabble au ayah telkomsel. © jokerisasi https://t.co/ty3zraeanv,netral,drabble au ayah jokerisasi
@telkomsel ️️ hehe... gpp manggil aja. saya kesepian️,netral,hehe gpp manggil kesepian
@telkomsel mau nanya nih min kalo aku belu kuota ini berarti ini gratis ntn di wetv selama 30 hari juga? https://t.co/kqeor6myx4,positif,nanya belu kuota gratis ntn wetv
